DESCRIPTION,CODE,LATITUDE,LONGITUDE
UP GOODS LOOP,CRKLUGL,51.564642,-0.22065792
CURVE JN,CRKLWCJ,51.561026,-0.21820221
CRICKLEWOOD,CRKLWD,51.559282,-0.2140867
DEPOT JN,CRKLWDJ,51.562042,-0.21816251
CRICKLEWOOD WASH LINE,CRKLWRL,49.766809,-7.5571598
SOUTH JUNCTION,CRKLWSJ,51.557548,-0.21415465
CREWKERNE,CRKRN,50.872498,-2.778763
CARLUKE,CRLK,55.730368,-3.8487232
CHARLTON,CRLN,51.486954,0.030831695
CHARLTON JUNCTION,CRLNJN,49.766809,-7.5571598
CHARLTON C & P XOVER,CRLNXOV,49.766809,-7.5571598
CRAIGLOCKHART JN,CRLORTJ,55.921892,-3.2260682
CARLTON ON TRENT LOOP,CRLTOTL,53.162742,-0.81686229
MOD (NAVY) CROMBIE,CRMBRND,56.034527,-3.4783556
CRAMLINGTON,CRMLNGT,55.088576,-1.5989002
CARMONDEAN JN SIG EN579,CRMN579,55.890778,-3.6260734
CARMONDEAN JN SIG EN581,CRMN581,55.890778,-3.6260734
CARMONDEAN JN,CRMNDNJ,55.890778,-3.6260734
CARMUIRS EAST JN,CRMRSEJ,56.005344,-3.8200561
CARMUIRS WEST JN,CRMRSWJ,56.000713,-3.8396117
FORMER CORNBROOK JUNCTION,CRNBRKJ,49.766809,-7.5571598
CARNFORTH,CRNF,54.129676,-2.7712324
CARNFORTH CE SIDING,CRNFCES,54.133251,-2.7743597
CARNFORTH DOWN SDGS,CRNFDSG,49.766809,-7.5571598
FURNESS & MIDLAND JN,CRNFFMJ,54.135039,-2.7759236
NORTH JUNCTION,CRNFNJN,54.128778,-2.7712157
CARNFORTH PLANT SIDING,CRNFPD,54.132684,-2.771778
LHS,CRNFRHS,54.129212,-2.7735192
TC,CRNFRTC,54.126082,-2.7711656
STEAMTOWN RAILWAY MUSEUM,CRNFSTM,54.127879,-2.771199
DOWN & UP GOODS LOOP,CRNFUGL,54.122745,-2.779825
UP PASSENGER LOOP,CRNFUPL,54.126082,-2.7711656
VIRTUAL QUARRY,CRNFVQ,58.472511,8.3099342
CHARING,CRNG,51.208744,0.78886679
CHARING CROSSOVER,CRNGX,58.472511,8.3099342
CRIANLARICH DOWN SIDING,CRNLAME,58.472511,8.3099342
PWSS CRIANLARICH SOUTH,CRNLRCE,56.390471,-4.6185952
CRIANLARICH,CRNLRCH,56.390488,-4.6177862
CRIANLARICH LOWER,CRNLRHL,58.472511,8.3099342
CRIANLARICH DOWN SIDINGS,CRNLUDS,57.74728,-4.8322142
RECP/M&EE SDG,CROESND,58.472511,8.3099342
NORTH FORK,CROESNF,53.021571,-3.0152407
CROFT QUARRY FLHH,CROFFHH,50.827264,-6.1037556
CROFT QUARRY GBRF,CROFGBR,55.772644,-1.0843195
ENGLISH CHINA CLAY (QUARRY),CROFTQY,52.559379,-1.2373417
CROFT,CROFTS,52.55848,-1.2373572
CROSBY GARRETT,CROGAR,52.007124,4.4944549
SMARDALE VIADUCT,CROGSMA,54.755617,0.22933663
CROOKSTON LOOP,CROKSNL,55.841882,-4.3683227
CROOKSTON GLASGOW,CROKSTN,55.841882,-4.3683227
CROMFORD,CROMFD,53.112929,-1.5487884
CARRONBRIDGE,CRONBDE,58.472511,8.3099342
CROSSHILL GLASGOW,CROSSHL,55.833179,-4.2576036
CROSTON,CROT,53.667647,-2.7779027
CROUCH HILL,CROUCHH,51.57215,-0.11689722
CROWLE,CROWLE,53.589729,-0.81705653
MEDGE HALL,CROWMH,58.472511,8.3099342
CROXTON AHB,CROXTON,58.472511,8.3099342
CROY,CROY,55.955655,-4.0372563
CAERPHILLY,CRPHLY,51.571942,-3.2177703
CARPENDERS PARK,CRPNDPK,51.628317,-0.38620031
CARSHALTON BEECHES,CRSHLTB,51.357151,-0.16881629
CARSHALTON,CRSHLTN,51.368812,-0.16691448
CROSSKEYS,CRSKEYS,58.472511,8.3099342
CROSS KEYS JCN,CRSKYJN,58.472511,8.3099342
CROSSMYLOOF GLASGOW,CRSMYLF,55.833547,-4.28637
CRESSINGTON,CRSNGTN,53.358388,-2.9119952
CARSTAIRS SIG MC405,CRST405,49.766809,-7.5571598
CARSTAIRS SIG MC410,CRST410,55.709549,-3.6710606
CARSTAIRS SIG MC422,CRST422,49.766809,-7.5571598
CARSTAIRS SIG MC423,CRST423,55.672747,-3.6679008
CARSTAIRS SIG MC436,CRST436,49.766809,-7.5571598
CE EAST CARSTAIRS PWSS,CRSTCE,55.689855,-3.6654476
CARSTAIRS D.P.L.,CRSTDPL,55.690645,-3.6734357
CARSTAIRS DS,CRSTDS,49.766809,-7.5571598
CARSTAIRS DOWN SDGS (FHH),CRSTFHH,49.766809,-7.5571598
NLC NOT REQUIRED BY WAF2,CRSTMEE,55.690731,-3.6670757
CARSTAIRS,CRSTRS,55.69071,-3.6686657
CARSTAIRS EAST JN,CRSTRSE,55.690839,-3.6591258
CARSTAIRS SOUTH JN,CRSTRSS,55.688102,-3.6621914
CARSTAIRS U.P.L.,CRSTUPL,55.692528,-3.6671522
COURTHILL LOOP NORTH JN,CRTHLPJ,51.458938,-0.013597768
CARLTON,CRTN,52.964601,-1.0798564
CARTSDYKE GREENOCK,CRTSDYK,55.942212,-4.7315906
CRUGWALLINS SIDINGS,CRUGWAL,56.457546,5.7384278
CROWHURST,CRWHRST,50.888744,0.50236927
CRESWELL (DERBYS),CRWLL,58.472511,8.3099342
CROW NEST JUNCTION,CRWNSTJ,53.543913,-2.562848
CROWTHORNE,CRWTHRN,51.36641,-0.81919529
CURRY MARSH SIDINGS,CRYMRSH,58.472511,8.3099342
CRYNANT,CRYNANT,54.559297,1.9387987
CRYSTAL PALACE VC167,CRYS167,51.418561,-0.072878422
CRYSTAL PALACE VC170,CRYS170,49.766809,-7.5571598
BROMLEY JUNCTION,CRYSBRJ,51.406855,-0.071932758
CRYSTAL PALACE,CRYSTLP,51.417639,-0.071479008
IMPERIAL WHARF,CSEAH,50.587707,-3.03984
CHANDLERS FORD,CSFD,58.472511,8.3099342
CROSS GATES YORKS,CSGT,53.803731,-1.4487867
CRISMILL CROSSOVER,CSMLX,58.472511,8.3099342
CASTLETON (GREATER MANCHESTER),CSTL,53.592744,-2.1782377
CASTLETON SIGNAL CE30,CSTL30,49.766809,-7.5571598
DOWN GOODS LOOP,CSTLDGL,49.766809,-7.5571598
CASTLETON DOWN SIDINGS,CSTLDSE,52.486793,-7.8916909
CASTLETON R.W.D.,CSTLGBR,57.146303,-4.9401069
CASTLETON HOPWOOD GF,CSTLHGF,53.591845,-2.1782339
C E COMPLEX,CSTLNRD,53.590047,-2.1782263
EAST JUNCTION,CSTLTEJ,58.472511,8.3099342
NORTH JUNCTION,CSTLTNJ,53.590946,-2.1782301
CASTLETON SOUTH JN,CSTLTSJ,53.58825,-2.1782188
UP SIDINGS (EWS),CSTLUSE,53.590047,-2.1782263
CHURCH STRETTON,CSTR,52.699735,-2.7442988
CITY THAMESLINK SIGNAL VC664,CTMS664,58.464296,8.2885088
CITY THAMESLINK,CTMSLNK,51.515832,-0.10250191
COLLINGTON,CTNG,50.839339,0.45711129
CASTLETON MOOR,CTNM,54.467286,-0.9477247
CARLTON ROAD JUNCTION,CTRDJN,51.552907,-0.15086859
COURT SART JUNCTION,CTSARTJ,51.643286,-3.8194681
COTTINGHAM,CTTGHM,53.781827,-0.40642716
CUDDINGTON,CUDNGTN,53.239918,-2.5993062
CUFFLEY,CUFFLEY,51.70872,-0.10978341
CULLODEN,CULDNMR,57.459845,-4.0530573
CULHAM,CULHAM,51.654009,-1.2367269
CULMONT-CHALINDREY  (FRANCE),CULMCHA,50.858294,4.3391491
CULRAIN,CULRAIN,57.919755,-4.4056377
CUPAR,CUPAR,56.316986,-3.0087561
CUPAR DOWN SIDING,CUPARDS,57.680562,-1.456255
CUPAR CP7,CUPRCP7,49.766809,-7.5571598
CURRIEHILL,CURRIEH,55.901669,-3.3162297
CURRY MARSH,CURYMSH,58.472511,8.3099342
CUSTOM HOUSE EAST,CUSTEBT,49.766809,-7.5571598
CUSTOM HOUSE XRAIL,CUSTMHS,51.509518,0.026070532
CUSTOM HOUSE WEST,CUSTWBT,51.516155,0.006186485
COVE BAY,CVEBAY,58.472511,8.3099342
COWBRIDGE ROAD S.B.,CWBRDSB,51.50125,-3.5674278
COWDENBEATH SIG EC941,CWDN941,56.111629,-3.3442953
COWDENBEATH,CWDNBTH,56.111646,-3.3426878
COWLAIRS SIGNAL CE604,CWLR604,49.766809,-7.5571598
COWLAIRS SIGNALBOX,CWLRBOX,58.472511,8.3099342
COWLAIRS EAST JN SIG C79,CWLRC79,55.890076,-4.242516
COWLAIRS D.P.L.,CWLRDPL,55.887455,-4.2383669
COWLAIRS DOWN SIDINGS,CWLRDS,49.766809,-7.5571598
COWLAIRS EAST JN,CWLRSEJ,55.890091,-4.2417172
COWLAIRS WEST G.L.,CWLRSGL,55.890076,-4.242516
COWLAIRS NORTH JN,CWLRSNJ,55.888237,-4.2448087
COWLAIRS WEST P.L.,CWLRSPL,55.890076,-4.242516
COWLAIRS SOUTH JN,CWLRSSJ,55.86947,-4.2389302
COWLAIRS WEST JN,CWLRSWJ,55.890076,-4.242516
COWLEY BRIDGE JN,CWLYBDG,50.747919,-3.5477975
NCB CWMBARGOED OPENCAST,CWMBOC,51.746917,-3.3340086
CWMBARGOED OPENCAST FHH,CWMBOFH,49.766809,-7.5571598
CWMBRAN,CWMBRAN,51.655685,-3.0161832
CWMBARGOED,CWMBRGD,51.741769,-3.3121312
CWMGWRACH,CWMGWRH,51.673166,-3.8062029
NCB CWMMAWR OPENCAST,CWMROPN,51.788929,-4.1414259
CUXTON,CXTN,51.374354,0.46266567
CLAYDON JUNCTION,CYDNJN,51.925589,-1.0023603
CYNGHORDY,CYNGHRD,52.051699,-3.7485101
DAGENHAM EAST,DAGNHME,51.532577,0.1453267
DAGENHAM JUNCTION,DAGNMJN,55.819497,2.2556304
DALGUSIE,DAGUSIE,49.766809,-7.5571598
DAILLY,DAILLY,58.472511,8.3099342
DAINTON TUNNEL,DAINTNT,50.483076,-3.6495251
DAINTON TUNNEL,DAINTNT,50.483076,-3.6495251
DAISY HILL,DAISYH,53.538796,-2.5009149
DALLAM JUNCTION,DALAMBR,53.137071,-2.1404686
DALLAM BRANCH WARRINGTON,DALAMFD,53.137073,-2.1389738
DALCROSS,DALCROS,58.472511,8.3099342
DALGETY BAY,DALGETY,56.045934,-3.3034794
DALMUIR SIG YY893,DALM893,49.766809,-7.5571598
DALMUIR SIGNAL YY898,DALM898,56.930577,0.33785127
DALMUIR DOWN SIDING,DALMRDS,55.911679,-4.4301858
DALMUIR,DALMRRS,55.884875,-4.4221131
DALMUIR,DALMUIR,55.911742,-4.4269892
DALRY,DALRY,55.705348,-4.711847
ROCHE PRODUCTS,DALRYRH,55.723368,-4.7099114
DALSTON JUNCTION,DALS,49.766809,-7.5571598
DALSTON JUNCTION SIGNAL D101,DALS101,58.472511,8.3099342
CUMMERSDALE VIADUCT,DALSCUM,52.86075,3.3291164
DALSTON KINGSLAND,DALSKLD,51.549006,-0.076025138
DALSTON OIL TERM(GROUND FRAME),DALSOGF,54.846162,-2.9904089
DALSTON,DALSTON,54.846175,-2.9888519
BP OIL (WEST CUMBRIA FARMERS),DALSTOT,54.847073,-2.9888739
LINDAL TUNNEL,DALTLTN,55.671362,-2.9136273
DALTON,DALTON,54.154235,-3.1790027
DALTON JUNCTION,DALTONJ,54.148693,-3.194156
DALWHINNIE SIDING,DALWCE,55.628874,-1.1699438
DALWHINNIE,DALWHIN,56.946755,-4.1613618
NLC NOT REQUIRED BY WAF2,DALZBSC,55.793757,-3.9905076
DANBY,DANBY,54.465175,-0.91229316
DANESCOURT,DANESCT,51.498034,-3.2345271
DANZEY,DANZEY,52.325261,-1.8209487
DARNALL,DARNALL,53.384697,-1.4121145
DARSHAM,DARSHAM,52.272809,1.5237483
DARTFORD,DARTFD,51.44757,0.21905608
DARTFORD JUNCTION,DARTFDJ,51.450483,0.20768297
DARTFORD DOWN SIDINGS,DARTFDS,51.447489,0.22336973
DARTFORD UP SIDINGS,DARTFUS,51.447461,0.2248076
DARTFORD WEST JUNCTION,DARTWJN,56.716164,2.0146951
DARWEN,DARWEN,53.698034,-2.4649397
DATCHET,DATCHET,51.482453,-0.58001728
DAUNTSEY,DAUNTSY,52.976328,-1.1431397
DAVIOT,DAVIOT,58.472511,8.3099342
DAVENPORT,DAVNPRT,53.390539,-2.1533324
DAWLISH,DAWLISH,50.580819,-3.4646252
DAWLISH WARREN,DAWLSHW,50.599063,-3.4439962
DAW MILL EAST JN,DAWMEJ,49.766809,-7.5571598
DAW MILL COLLIERY FHH,DAWMFHH,58.472511,8.3099342
DAW MILL COLLIERY GBRf,DAWMGBR,49.766809,-7.5571598
DAW MILL COLLIERY DBS,DAWMLCL,52.525295,-1.6294408
DAW MILL WEST JN,DAWMWJ,49.766809,-7.5571598
KELVINDALE,DAWSHLM,55.895517,-4.3137039
DAX,DAXX,50.8574,4.3390274
DEAL,DEAL,51.223196,1.3985144
DEAL SIDINGS,DEALSDG,53.689642,3.5241986
DEAN,DEAN,51.042684,-1.634794
DEAN ENGINEERS,DEANCE,52.787848,-1.2249909
EAST GRIMSTEAD SB,DEANEGR,58.472511,8.3099342
MOD(NAVY),DEANHLS,58.472511,8.3099342
DEEPCAR,DEEPCAR,53.476124,-1.5615204
STOCKSBRIDGE WORKS,DEEPSW,53.476124,-1.5615204
DEGANWY,DEGANWY,53.294746,-3.8333862
DEIGHTON,DEIGHTN,53.668121,-1.7517472
DELAMERE,DELAMER,53.228774,-2.6665603
DELNY,DELNY,58.472511,8.3099342
BRITCOAL DENBY OPENCAST,DENBYOT,53.022494,-1.4230114
DENHAM,DENHAM,51.578542,-0.49764858
DENHAM GOLF CLUB,DENHMGC,51.580596,-0.51778666
DENMARK HILL LONDON,DENMRKH,51.468293,-0.089501008
DEANSGATE JN SIG. DJ19,DENS19,53.390136,-2.3457958
DEANSGATE JUNCTION,DENSGTJ,53.400935,-2.3413714
DENT,DENT,54.281687,-2.3639762
DEEPDENE,DEPDENE,51.238972,-0.32393505
DEPTFORD,DEPTFD,51.478951,-0.02712979
LEVINGTON SIGNAL CO622,DERB622,49.766809,-7.5571598
DERBY ROAD IPSWICH,DERBYRD,52.050471,1.1823458
DEREHAM UKF GBRF,DERMGBF,49.766809,-7.5571598
UKF FERTILISERS,DERMUKF,52.686185,0.94426197
DESBOROUGH,DESBRO,53.810565,-0.12656895
DEVONPORT ROYAL DOCKYARD,DEVNEXS,50.378607,-4.1734138
DEVONPORT,DEVNPRT,50.378229,-4.170063
DINGLE ROAD,DGLROAD,51.440136,-3.1811682
DAGENHAM FORD MC SIG UR821,DGNH821,58.472511,8.3099342
DAGENHAM FORD MC SIG UR826,DGNH826,58.472511,8.3099342
DAGENHAM DOCK AMEY ROADSTONE,DGNHARC,51.528084,0.14511549
DAGENHAM DOCK RECP GBRF,DGNHDRG,49.766809,-7.5571598
DAGENHAM EAST LT,DGNHELT,51.528983,0.14515773
DAGENHAM DOCK,DGNHMDC,51.526287,0.14503102
DAGENHAM DOWN YARD,DGNHMFD,58.472511,8.3099342
DAGENHAM STORAGE,DGNHMSC,51.53078,0.14524221
DAGENHAM DOCK RECEPTION,DGNHREC,51.531679,0.14528446
DIDCOT SIG. SB2207,DIDC207,49.766809,-7.5571598
DIDCOT SIGNAL SN940,DIDC940,51.620154,-1.2864059
GREAT WESTERN SOCIETY,DIDCGWS,51.612699,-1.2446408
DIDCOT LHS,DIDCLHS,49.766809,-7.5571598
DIDCOT MILTON SDG FL,DIDCMSF,49.766809,-7.5571598
DIDCOT PARKWAY,DIDCOTP,51.610883,-1.2417826
DIDCOT PWR STN FLINER HVY HAUL,DIDCPS,58.472511,8.3099342
DIDCOT POWER STATION D&C,DIDCPSD,49.766809,-7.5571598
DIDCOT POWER STATION GBRF,DIDCPSG,49.766809,-7.5571598
LANSDOWN INTERNATIONAL,DIDCTDC,51.620154,-1.2864059
DIDCOT EAST JN,DIDCTEJ,51.609056,-1.2374808
DIDCOT FUELLING POINT,DIDCTFP,51.613598,-1.2446259
DIDCOT NORTH JN,DIDCTNJ,51.620791,-1.2445065
NATIONAL POWER EWS,DIDCTPS,51.609965,-1.2389097
DIDCOT YARD,DIDCTTC,51.61314,-1.2431893
CE TIP (WEST YARD),DIDCWCE,53.784524,-1.5089424
DIDCOT WEST CURVE JN,DIDCWCJ,51.617204,-1.2460104
DIDCOT WEST END,DIDCWE,51.617199,-1.2452883
DIGBY AND SOWTON,DIGBY,58.156629,-3.7672397
DIGGLE JN DOWN PASS LOOP,DIGGDPL,49.766809,-7.5571598
DIGGLE JUNCTION,DIGGLEJ,53.550227,-2.001637
DIGSWELL,DIGSWEL,51.815183,-0.1971104
DIJON-PERRIGNY,DIJONPY,50.855613,4.3387841
DILLINGEN (SAARLOUIS),DILLING,50.814746,4.3616527
DILTON MARSH,DILTONM,51.249885,-2.2077044
DINAS POWYS,DINASP,51.431663,-3.2183515
DINAS (MID GLAMORGAN),DINASR,51.432562,-3.2183754
DINGWALL NO1 L.C.,DING1LC,58.472511,8.3099342
DINGWALL NO2 L.C.,DING2LC,58.472511,8.3099342
DINGWALL MIDDLE,DINGMLC,58.472511,8.3099342
DINGWALL,DINGWAL,58.472511,8.3099342
CE NORTH DINGWALL P-WAY INSP.,DINGWCE,57.593241,-4.4233543
DINMORE TUNNELS,DINMORE,51.996102,0.14897562
DINSDALE,DINSDAL,54.514727,-1.467065
RAF DINTON,DINTNMD,51.065848,-1.9740476
AMFS - EASTLEIGH S & M,DINTON,58.472511,8.3099342
DAVENTRY GBRF,DIRFBRF,54.998678,-2.8538313
DAVENTRY DRS (TESCO),DIRFDR2,49.766809,-7.5571598
DAVENTRY DRS (SAINS),DIRFDRS,53.590748,5.1905222
DAVENTRY RECEPTION SDGS (EP2),DIRFEP2,49.766809,-7.5571598
DAVENTRY FHH,DIRFFHH,49.766809,-7.5571598
DAVENTRY DIDC2 TIBBET&BRITAIN,DIRFTB2,58.472511,8.3099342
DAVENTRY IRFT CRIPPLE SDG,DIRFTCR,58.472511,8.3099342
DAVENTRY INT RFT RECEP FL,DIRFTFL,58.472511,8.3099342
DAVENTRY INT RFT INTERMODAL,DIRFTIN,58.472511,8.3099342
DAVENTRY IRFT (MALCOLM WH),DIRFTMA,58.472511,8.3099342
DAVENTRY INT RFT RECEP EWS,DIRFTRE,58.472511,8.3099342
DAVENTRY INT RFT RECEP RFD,DIRFTRR,58.472511,8.3099342
DAVENTRY DIDC1 TIBBETT&BRITTEN,DIRFTWA,58.472511,8.3099342
DISLEY,DISLEY,53.358271,-2.0435334
DISS,DISS,52.374925,1.1233462
DISS RECEPTION SIDINGS,DISSRS,52.374027,1.1232828
DITTON FOUNDRY LANE(AHC) EWS,DITTAHC,53.35221,-2.7680894
DITTON FOUNDRY LANE (AHC) GBRF,DITTAHG,55.506912,3.301627
FORMER BOC (OCONNOR) EWS,DITTBOC,53.352009,-2.7685365
DITTON FOUNDRY LANE(AHC) FLR,DITTCFL,58.472511,8.3099342
DITTON (O'CONNOR SDGS) (DRS),DITTDRS,49.766809,-7.5571598
FORMER BOC (OCONNER) FLINER,DITTFLR,53.352009,-2.7685365
DITTON,DITTINO,55.819497,2.2556304
DITTON RECEPTION HEADSHUNT,DITTNRH,49.766809,-7.5571598
DITTON RECEPTION SIDINGS,DITTNRS,55.845689,-0.77286389
DITTON WEST JUNCTION,DITTNWJ,51.823724,-6.193829
DITTON,DITTON,53.355808,-2.7677034
RECP,DITTONY,55.845689,-0.77286389
DALMALLY C.E.,DLMALCE,56.401593,-4.9816385
DALMALLY,DLMALLY,56.401106,-4.9832213
DALMARNOCK,DLMRNOK,55.84465,-4.2199313
DALMENY,DLMY,55.986926,-3.3753576
CE SIDING,DLMYCE,55.985473,-3.3767807
DALMENY D.P.L.,DLMYDPL,55.984575,-3.3767488
SIGNAL OPERATING,DLMYJN,55.980982,-3.3766211
DALMENY U.P.L.,DLMYUPL,55.984576,-3.3765885
DALNACARDOCH TMG POINT,DLNCRDH,56.808375,-4.0964125
DALNASPIDAL TIMING POINT,DLNSPDL,56.87307,-4.1826074
DALREOCH SIG YD665,DLRE665,55.947317,-4.5781768
DALREOCH,DLREOCH,55.947317,-4.5781768
DALRYMPLE JN,DLRYMPL,55.413869,-4.5986024
DARLINGTON,DLTN,54.520441,-1.545779
CLEVELAND BRIDGE & ENG,DLTNCBE,54.580224,-1.136668
DARLINGTON DOWN BYPASS,DLTNDBP,51.449261,3.7626115
DTON SOUTH DOWN PASSR LOOP,DLTNDPL,54.519553,-1.5488786
DARLINGTON DOWN SIDINGS,DLTNDS,49.766809,-7.5571598
TEES-TYNE CROSSINGS,DLTNECX,58.472511,8.3099342
DARLINGTON NORTH,DLTNN,54.521339,-1.5457691
DARLINGTON PROG & NEW WORKS,DLTNPKL,58.472511,8.3099342
DARLINGTON SOUTH,DLTNS,54.515054,-1.5473834
DARLINGTON UP LOOP,DLTNUPL,54.514167,-1.5504825
UP SIDINGS,DLTNUS,54.51506,-1.548928
DARLINGTON UP SDGS (FLHH),DLTNUSF,49.766809,-7.5571598
DARLINGTON UP S.S. (GBRF),DLTNUSG,49.766809,-7.5571598
DOLWYDDELAN,DLWYDLN,53.051216,-3.8842022
SHOTTON WORKS(BRITISH STEEL),DMARBSC,53.218067,-3.0333164
DEE MARSH JUNCTION,DMARSHJ,53.217168,-3.0332947
DEE MARSH RECP,DMARSRS,53.217618,-3.0333055
SIG YD933,DMBR933,58.472511,8.3099342
DUMBARTON,DMBR938,49.766809,-7.5571598
DUMBARTON CENTRAL C.E.,DMBRCCE,55.945763,-4.5665412
DUMBARTON CENTRAL,DMBRTNC,55.946653,-4.5669205
DUMBARTON EAST,DMBRTNE,55.942432,-4.5538286
DUMBARTON CENTRAL GOODS LOOP,DMBRTNL,58.472511,8.3099342
DIMMOCKS COTE AHB,DMCKSCT,58.472511,8.3099342
KINGSWEAR,DMTHKWR,50.34872,-3.572729
DENBIGH HALL NORTH JN,DNBGHNJ,52.015158,-0.74804613
DENBIGH HALL SOUTH JN,DNBGHSJ,52.003993,-0.73984978
DENBY DALE,DNDL,53.572629,-1.6632104
DUNFERMLINE,DNFRMLE,56.068177,-3.4520141
DUNFERMLINE QUEEN MARGARET,DNFRMQM,58.472511,8.3099342
DEN HAAG HS,DNHAAG,50.914918,4.373917
DUNKIRQUE VIA DOVER,DNKIRK,56.550528,-5.6873373
DUNLOP,DNLP,55.711846,-4.5339787
DINNINGTON SIG WP605,DNNG605,49.766809,-7.5571598
DINNINGTON SIG WP606,DNNG606,49.766809,-7.5571598
DINNINGTON COLLIERY JN,DNNGCLJ,53.372027,-1.2379386
DUNRAGIT,DNRAGIT,54.914766,-4.8097617
DUNROBIN CASTLE,DNROBIN,57.985068,-3.9499104
DEANSIDE TRANSIT LTD,DNSDCPA,55.866846,-4.3685158
DEANSIDE C.P.A GBRF,DNSDCPG,49.766809,-7.5571598
DEANSIDE CPA. FLT,DNSDFLT,58.472511,8.3099342
DEANSIDE LOOP - RAILTRACK,DNSDLP,55.855318,-4.3482081
DUNSTON,DNSN,54.95032,-1.6408711
DINTING,DNTG,53.44906,-1.9713527
DENTON,DNTON,53.457081,-2.1309825
DENTON JUNCTION,DNTONJN,53.466077,-2.1234787
DENTON STATION JN,DNTOSTJ,58.472511,8.3099342
DOCKYARD,DOCKYDP,54.90173,-4.4126227
DODWORTH,DODWRTH,53.545218,-1.5306245
DOCK JUNCTION NORTH,DOKJNSP,51.541804,-0.13112924
DOCK JUNCTION SOUTH,DOKJSSP,51.539983,-0.12976176
DOLAU,DOLAU,52.295256,-3.2639109
DOLEHAM,DOLEHAM,50.91875,0.61069537
DOLGARROG,DOLGARG,53.186129,-3.8227615
DOLLANDS MOOR SIGNALS 825-831,DOLM825,58.472511,8.3099342
DOLLANDS MOOR SIGNALS 836-840,DOLM836,58.472511,8.3099342
DOLLANDS MOOR COLAS RAIL,DOLMCR,49.766809,-7.5571598
DOLLANDS MOOR CTRL,DOLMCTL,57.537894,5.7833785
DOLLANDS MOOR DN GDS LINE,DOLMDGL,58.472511,8.3099342
DOLLANDS MOOR EAST BOUNDARY,DOLMEB,58.546102,3.8007263
DOLLANDS MOOR EAST,DOLMEST,51.091987,1.103201
DOLLANDS MOOR (GBRF),DOLMGBF,49.766809,-7.5571598
DOLLANDS MOOR G.E.T,DOLMGET,55.819497,2.2556304
DOLLANDS MOOR LOCO HOLDING SDG,DOLMLHS,58.472511,8.3099342
DOLLANDS MOOR SIDINGS,DOLMORS,58.472511,8.3099342
DOLLANDS MOOR WEST BOUNDARY,DOLMWB,55.550183,3.7947407
DOLLANDS MOOR WEST JN,DOLMWJN,58.472511,8.3099342
DOLLANDS MOOR WEST,DOLMWST,58.472511,8.3099342
DOLPHIN JN,DOLPHNJ,51.511304,-0.58632588
DONCASTER,DONC,53.522375,-1.1402177
DONCASTER SIGNAL D105,DONC105,53.579384,-1.1949458
DONCASTER SIGNAL D106,DONC106,53.574819,-1.184461
DONCASTER SIGNAL D108,DONC108,58.472511,8.3099342
DONCASTER SIGNAL D191,DONC191,58.472511,8.3099342
DONCASTER SIGNAL D236,DONC236,49.766809,-7.5571598
DONCASTER SIG D249,DONC249,53.514166,-1.1237951
DONCASTER SIG D254,DONC254,53.512369,-1.1238322
DONCASTER SIGNAL D269,DONC269,53.511481,-1.1253585
DONCASTER SIG D275,DONC275,58.472511,8.3099342
DONCASTER SIG D276,DONC276,53.522375,-1.1402177
DONCASTER SIGNAL D281,DONC281,58.472511,8.3099342
DONCASTER SIG D298,DONC298,49.766809,-7.5571598
DONCASTER SIG D308,DONC308,58.472511,8.3099342
DONCASTER SIG D1489,DONC489,49.766809,-7.5571598
DONCASTER SIG D866,DONC866,53.513284,-1.1260754
BLACK CARR,DONCBCJ,58.472511,8.3099342
DONCASTER BELMONT DN LHS,DONCBDL,49.766809,-7.5571598
BELMONT DOWN RECEPTION,DONCBDR,53.504357,-1.1345514
BELMONT DOWN YARD,DONCBDY,53.505256,-1.1345331
BRIDGE JN,DONCBJN,53.515185,-1.1403632
BRML DONCASTER,DONCBRE,53.522397,-1.143234
DONCASTER NTR,DONCDCE,53.499653,-1.1060037
DONCASTER DOWN DECOY F'LINERS,DONCDDF,58.472511,8.3099342
DOWN DECOY (GBRF),DONCDDG,58.472511,8.3099342
DONCASTER DOWN DECOY,DONCDDY,53.498754,-1.1060226
DECOY NORTH JN,DONCDNJ,53.502427,-1.1164989
DONCASTER DOWN DECOY RP GBRF,DONCDRP,49.766809,-7.5571598
DONCASTER DECOY SOUTH JCN,DONCDSJ,58.472511,8.3099342
ELECTRIFICATION CONSTN DEPOT,DONCECD,58.472511,8.3099342
DONCASTER EUROPORT,DONCEP,53.51238,-1.12534
DONCASTER FREIGHT DEPOT,DONCEWS,49.766809,-7.5571598
HEXTHORPE YARD (GBRF),DONCHGB,49.766809,-7.5571598
HEXTHORPE JN,DONCHJN,53.505523,-1.1722216
HEXTHORPE SIDINGS,DONCHRS,58.472511,8.3099342
DONCASTER CARR IEP DEPOT,DONCIEP,49.766809,-7.5571598
LOVERSALL CARR JN,DONCLCJ,53.48774,-1.0761115
LIP,DONCLIP,53.497855,-1.1060415
DONCASTER UP DECOY LMD,DONCLMD,49.766809,-7.5571598
DONCASTER MIDDLE ROAD,DONCMRD,58.472511,8.3099342
DONCASTER MARSH GATE,DONCMRG,58.472511,8.3099342
POTTERIC CARR,DONCPCJ,53.528731,-1.1491405
DONCASTER PAPER SDGS,DONCPS,49.766809,-7.5571598
DONCASTER P WAY DEPOT,DONCPWD,53.497844,-1.1045343
